t_id,es_fraude
1200,1
156083,1
318471,1
330446,1
399390,1
472486,1
533676,1
543910,1
601322,1
876335,1
1012596,1
1412025,1
1571403,1
1605700,1
1724871,1
1734214,1
1819443,1
2010797,1
2047268,1
2631088,1
2640911,1
2660364,1
2829165,1
3073889,1
3107872,1
3121785,1
3345937,1
3525094,1
3773028,1
3847446,1
3979431,1
3995359,1
4259572,1
4629351,1
4812661,1
5009067,1
5049094,1
5226213,1
5323742,1
5366311,1
5437377,1
5454303,1
5600136,1
5716386,1
6168485,1
6201410,1
6223327,1
6273796,1
6278033,1
160160,0
217179,0
295005,0
404784,0
453375,0
755913,0
889259,0
929190,0
1147998,0
1230928,0
1365135,0
1544565,0
1577135,0
1608649,0
1637476,0
1643569,0
1644688,0
1702800,0
1908611,0
2043042,0
2094730,0
2188135,0
2207662,0
2555548,0
2636581,0
2898321,0
2996285,0
3013462,0
3061629,0
3092382,0
3107416,0
3299300,0
3460630,0
3497146,0
3586031,0
3726623,0
4312671,0
4343288,0
4452959,0
4575582,0
4645299,0
4950650,0
5064320,0
5208119,0
5238304,0
5271274,0
5391107,0
5465992,0
5541619,0
5616439,0
6128028,0
